,signal_id,id_measurement,phase,target,mean,median,std_dev,rolling100k_amp,count1SDfromTheMean,count2SDfromTheMean,max_amp,max_freq,strong_amp_count,avg_amp,sum_amp,std_amp,median_amp
0,0,0,0,0,-0.96027125,-1.0,13.870724309725986,37.21537,377353,21,47.83106231689453,0.37890625,18.0,1.9954725503921509,257.41595458984375,5.220993518829346,0.6124728918075562
1,1,0,1,0,-0.194125,0.0,13.037134385453541,35.107910000000004,372859,7,41.98257827758789,0.37890625,20.0,1.8364589214324951,236.9031982421875,4.641737937927246,0.4587787687778473
2,2,0,2,0,-0.043555,0.0,13.684282241388296,36.976240000000004,377776,23,38.99995422363281,0.37890625,22.0,1.935738205909729,249.71023559570312,4.503104209899902,0.652927577495575
3,3,1,0,1,-0.99740125,-1.0,13.673629986089956,37.53126,381716,28,29.060941696166992,0.1484375,16.0,1.5902955532073975,205.14813232421875,3.2248663902282715,0.7981588840484619
4,4,1,1,1,-0.17558625,0.0,12.938372317212504,35.35856,377552,24,20.080659866333008,0.1484375,19.0,1.3759316205978394,177.49517822265625,2.577763080596924,0.43926581740379333
5,5,1,2,1,-0.03600375,0.0,13.545776924192499,36.87904,379631,68,23.466798782348633,0.1484375,19.0,1.6531707048416138,213.25901794433594,2.911618709564209,0.8749734163284302
6,6,2,0,0,-1.146185,-1.0,14.064210605141515,39.474689999999995,378400,22,120.42174530029297,0.3828125,17.0,4.404844760894775,568.2249755859375,15.451883316040039,0.39505520462989807
7,7,2,1,0,-1.952695,-2.0,14.774423668521724,41.58219,391669,1,81.41136932373047,0.3828125,14.0,3.0574758052825928,394.41436767578125,10.961865425109863,0.33452579379081726
8,8,2,2,0,0.87337,1.0,14.81566830565196,41.583960000000005,394043,6,123.97229766845703,0.3828125,16.0,3.0722901821136475,396.325439453125,12.887474060058594,0.32427218556404114
9,9,3,0,0,-1.35963375,-1.0,15.704621049737582,43.26086,345646,1054,128.14324951171875,0.390625,92.0,17.904987335205078,2309.743408203125,26.32306671142578,7.937922954559326
